epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2668,0.93035,1.45899,1.40289,0.49361,0.66849,0.45375,0.37481,0.99961,13.4905,1.83001,0.000548633,0.000548633,0.000548633
2,58.2084,0.89939,0.98035,1.33698,0.67972,0.63342,0.61969,0.40175,1.47777,1.90751,2.13933,0.00108243,0.00108243,0.00108243
3,86.2711,0.90315,0.88548,1.34154,0.74442,0.71712,0.7515,0.47476,1.44713,1.29698,2.15621,0.00159423,0.00159423,0.00159423
4,113.098,0.92305,0.9249,1.35048,0.86628,0.70653,0.82635,0.61799,0.97362,1.11289,1.61266,0.00156798,0.00156798,0.00156798
5,139.746,0.86345,0.8348,1.319,0.75915,0.67141,0.71198,0.55527,1.01354,1.81435,1.62441,0.00153497,0.00153497,0.00153497
6,166.404,0.82854,0.79014,1.28453,0.88926,0.83246,0.88847,0.71563,0.75849,0.7402,1.40068,0.00150197,0.00150197,0.00150197
7,193.232,0.81203,0.75767,1.2799,0.89287,0.81764,0.89165,0.71508,0.78823,0.74733,1.42802,0.00146896,0.00146896,0.00146896
8,219.471,0.81285,0.74203,1.27298,0.91485,0.66209,0.77175,0.66568,0.84634,0.92796,1.51844,0.00143595,0.00143595,0.00143595
9,245.815,0.77152,0.71393,1.23839,0.91294,0.79913,0.89535,0.74485,0.7098,0.66611,1.31548,0.00140295,0.00140295,0.00140295
10,272.582,0.77326,0.70184,1.2428,0.86901,0.82231,0.89712,0.75904,0.67002,0.70034,1.26146,0.00136994,0.00136994,0.00136994
11,299.363,0.74198,0.66861,1.22283,0.92279,0.80721,0.91006,0.75299,0.72966,0.67503,1.36294,0.00133693,0.00133693,0.00133693
12,326.018,0.71838,0.63047,1.21631,0.94498,0.80653,0.90912,0.76609,0.68917,0.62961,1.31415,0.00130393,0.00130393,0.00130393
13,352.874,0.75727,0.66894,1.22841,0.92265,0.82876,0.92846,0.79854,0.61246,0.55868,1.22946,0.00127092,0.00127092,0.00127092
14,379.507,0.6998,0.59682,1.19947,0.89888,0.83266,0.91877,0.79004,0.62185,0.57711,1.23113,0.00123791,0.00123791,0.00123791
15,406.311,0.71157,0.60137,1.19056,0.8612,0.76075,0.87532,0.73519,0.65487,0.68254,1.27554,0.00120491,0.00120491,0.00120491
16,433.074,0.71406,0.59455,1.20001,0.9272,0.82876,0.9253,0.78813,0.63139,0.7107,1.25319,0.0011719,0.0011719,0.0011719
17,459.235,0.70369,0.58788,1.19579,0.90121,0.88861,0.92893,0.79165,0.63023,0.56378,1.24726,0.00113889,0.00113889,0.00113889
18,485.426,0.68682,0.55883,1.18031,0.90987,0.82674,0.8805,0.74025,0.6995,0.72064,1.32541,0.00110589,0.00110589,0.00110589
19,511.805,0.68372,0.56897,1.17833,0.89376,0.85302,0.93016,0.81306,0.60611,0.53731,1.20537,0.00107288,0.00107288,0.00107288
20,537.776,0.66322,0.54643,1.16639,0.96446,0.82876,0.93476,0.81216,0.5623,0.54254,1.14887,0.00103987,0.00103987,0.00103987
21,563.841,0.68646,0.56884,1.18493,0.90336,0.87721,0.93738,0.81624,0.59165,0.51346,1.19238,0.00100687,0.00100687,0.00100687
22,590.116,0.67246,0.55428,1.17177,0.90015,0.87837,0.93468,0.82532,0.56877,0.47754,1.17377,0.000973861,0.000973861,0.000973861
23,616.72,0.64643,0.52961,1.15526,0.92806,0.85927,0.92854,0.81929,0.56335,0.50549,1.18014,0.000940855,0.000940855,0.000940855
24,642.726,0.64441,0.52508,1.15708,0.9496,0.79172,0.91466,0.82497,0.53178,0.52865,1.13198,0.000907848,0.000907848,0.000907848
25,668.757,0.65314,0.52495,1.14966,0.93279,0.84548,0.92796,0.82391,0.55558,0.50147,1.17553,0.000874842,0.000874842,0.000874842
26,694.873,0.65177,0.51576,1.15779,0.93878,0.81938,0.92917,0.82601,0.53768,0.52509,1.13415,0.000841835,0.000841835,0.000841835
27,721.061,0.65094,0.52399,1.15497,0.91584,0.84924,0.91328,0.80848,0.55325,0.50727,1.14673,0.000808828,0.000808828,0.000808828
28,747.167,0.63488,0.511,1.14983,0.89353,0.87561,0.92556,0.80721,0.57616,0.51152,1.17128,0.000775822,0.000775822,0.000775822
29,773.223,0.62396,0.49161,1.14067,0.92228,0.83079,0.92179,0.81913,0.55814,0.50902,1.15292,0.000742815,0.000742815,0.000742815
30,799.239,0.61595,0.50179,1.13653,0.84963,0.87166,0.9278,0.82835,0.53323,0.51263,1.13177,0.000709809,0.000709809,0.000709809
31,825.471,0.62118,0.49293,1.13244,0.91259,0.90333,0.93802,0.83243,0.55289,0.44819,1.14992,0.000676802,0.000676802,0.000676802
32,851.571,0.63302,0.48968,1.13526,0.94846,0.87317,0.94455,0.84258,0.53317,0.45836,1.12512,0.000643795,0.000643795,0.000643795
33,877.889,0.61859,0.46869,1.12882,0.92563,0.85812,0.92384,0.83236,0.52799,0.46797,1.12797,0.000610789,0.000610789,0.000610789
34,903.953,0.61414,0.48241,1.135,0.92917,0.84024,0.93118,0.83885,0.52054,0.45378,1.127,0.000577782,0.000577782,0.000577782
35,930.125,0.58892,0.44738,1.1138,0.95503,0.88098,0.94442,0.84072,0.51986,0.44061,1.12298,0.000544776,0.000544776,0.000544776
36,956.543,0.59628,0.44271,1.11963,0.89721,0.92016,0.9401,0.8411,0.5126,0.42406,1.11003,0.000511769,0.000511769,0.000511769
37,982.741,0.59216,0.45744,1.11429,0.93666,0.87426,0.93101,0.83488,0.53834,0.46047,1.15831,0.000478762,0.000478762,0.000478762
38,1009.8,0.57728,0.4455,1.10883,0.9223,0.88612,0.94262,0.83845,0.53165,0.45056,1.14417,0.000445756,0.000445756,0.000445756
39,1036.33,0.58256,0.44629,1.10816,0.95685,0.85785,0.94114,0.84463,0.52038,0.41613,1.13557,0.000412749,0.000412749,0.000412749
40,1062.88,0.57153,0.43101,1.09931,0.90907,0.90637,0.93948,0.84654,0.53384,0.44059,1.15047,0.000379743,0.000379743,0.000379743
41,1090.09,0.38634,0.34929,1.02817,0.95482,0.86391,0.93652,0.84459,0.52965,0.43089,1.15293,0.000346736,0.000346736,0.000346736
42,1115.28,0.37849,0.32557,1.02923,0.91194,0.90778,0.93852,0.84193,0.53379,0.3973,1.15226,0.000313729,0.000313729,0.000313729
43,1140.55,0.37516,0.32598,1.01597,0.90431,0.91169,0.94288,0.84462,0.52457,0.39372,1.13776,0.000280723,0.000280723,0.000280723
44,1165.82,0.35846,0.29063,1.01193,0.91063,0.91774,0.94206,0.84878,0.50759,0.40251,1.1194,0.000247716,0.000247716,0.000247716
45,1191.04,0.34986,0.28666,1.00172,0.9502,0.86149,0.94124,0.84486,0.50992,0.41572,1.12191,0.00021471,0.00021471,0.00021471
46,1216.55,0.33808,0.27784,1.0009,0.90398,0.90632,0.94585,0.85348,0.50514,0.38727,1.11512,0.000181703,0.000181703,0.000181703
47,1241.78,0.33806,0.26515,0.98967,0.92892,0.89271,0.94267,0.84952,0.50337,0.3895,1.1253,0.000148696,0.000148696,0.000148696
48,1266.94,0.34865,0.26863,0.99381,0.91583,0.89843,0.93893,0.84701,0.50844,0.3885,1.12193,0.00011569,0.00011569,0.00011569
49,1292.12,0.33332,0.25963,0.97573,0.91583,0.91246,0.94226,0.85411,0.49791,0.38117,1.11482,8.26832e-05,8.26832e-05,8.26832e-05
50,1317.5,0.31912,0.25653,0.98573,0.92817,0.9087,0.94257,0.85188,0.49977,0.39608,1.11774,4.96766e-05,4.96766e-05,4.96766e-05
